0.000	 0	  1	0.000	 0	  2	0.000	 0	  2	0.000	 0	  2	0.000	 0	  0	14.00	 1	  5	0.000	 0	  2	5.000	 2	  2
1.000	 4	  2	0.000	 0	  2	5.143	 6	  3	0.000	 0	  4	0.000	 0	  2	7.000	 1	  5	0.000	 0	  2	2.500	 2	  4
0.667	 4	  2	0.000	 0	  6	3.429	 6	  3	2.143	 1	  5	1.929	 6	  2	4.667	 1	  6	0.000	 0	  3	1.667	 2	  5
0.500	 4	  2	3.795	 5	  8	2.571	 6	  4	1.607	 1	  5	1.446	 6	  2	3.500	 1	  7	0.250	 2	  6	2.500	 4	  6
0.400	 4	  2	3.036	 5	  9	2.057	 6	  4	1.286	 1	  7	1.157	 6	  5	2.800	 1	  8	0.800	 8	  6	2.000	 4	  7
0.333	 4	  6	2.530	 5	 10	1.714	 6	  5	1.071	 1	  7	1.929	12	  5	2.333	 1	  9	0.667	 8	  6	2.500	 6	  8
1.143	16	  7	2.168	 5	 10	1.469	 6	  6	0.918	 1	  8	1.653	12	  5	2.000	 1	 10	0.571	 8	  8	2.143	 6	 10
1.000	16	  7	1.897	 5	 12	1.286	 6	  6	0.804	 1	  9	1.446	12	  6	1.750	 1	 11	0.875	14	  9	1.875	 6	 12
0.889	16	  9	1.687	 5	 12	1.143	 6	  7	0.714	 1	 10	1.607	15	  7	3.111	 2	 11	0.889	16	 12	1.667	 6	 12
1.000	20	 10	1.518	 5	 15	1.029	 6	  7	0.643	 1	 10	1.446	15	  7	2.800	 2	 12	1.000	20	 13	1.500	 6	 14
1.091	24	 10	2.760	10	 16	0.935	 6	  8	0.584	 1	 12	1.315	15	  7	2.545	 2	 12	1.000	22	 15	1.364	 6	 16
1.000	24	 11	2.530	10	 19	0.857	 6	 10	1.071	 2	 14	1.205	15	  7	2.333	 2	 12	1.083	26	 15	1.250	 6	 16
1.077	28	 13	2.335	10	 20	1.187	 9	 11	1.484	 3	 15	1.113	15	  8	2.154	 2	 12	1.000	26	 16	1.154	 6	 17
1.143	32	 13	2.168	10	 21	1.102	 9	 12	1.378	 3	 17	1.033	15	  9	2.000	 2	 14	1.000	28	 16	1.429	 8	 18
1.067	32	 13	2.024	10	 23	1.371	12	 13	1.286	 3	 20	1.157	18	 10	2.800	 3	 15	0.933	28	 16	1.333	 8	 18
1.000	32	 13	2.846	15	 24	1.607	15	 14	1.205	 3	 22	1.266	21	 11	2.625	 3	 16	0.875	28	 17	1.250	 8	 19
0.941	32	 15	2.679	15	 25	1.513	15	 14	1.134	 3	 23	1.191	21	 12	2.471	 3	 18	0.941	32	 17	1.471	10	 20
1.222	44	 15	2.530	15	 28	1.429	15	 14	1.071	 3	 24	1.125	21	 14	2.333	 3	 19	0.889	32	 18	1.389	10	 20
1.158	44	 17	2.397	15	 29	1.353	15	 15	1.015	 3	 25	1.370	27	 16	2.211	 3	 20	0.895	34	 18	1.316	10	 20
1.400	56	 19	2.277	15	 30	1.286	15	 16	0.964	 3	 26	1.302	27	 17	2.100	 3	 21	0.850	34	 18	1.250	10	 21
1.333	56	 20	2.168	15	 30	1.224	15	 18	1.224	 4	 26	1.378	30	 19	2.000	 3	 23	0.810	34	 18	1.429	12	 22
1.364	60	 21	2.070	15	 32	1.403	18	 18	1.169	 4	 27	1.446	33	 19	1.909	 3	 26	0.773	34	 19	1.364	12	 22
1.391	64	 22	1.980	15	 34	1.342	18	 19	1.118	 4	 28	1.384	33	 20	2.435	 4	 27	0.783	36	 19	1.304	12	 23
1.417	68	 25	1.897	15	 34	1.286	18	 19	1.071	 4	 29	1.326	33	 21	2.333	 4	 28	0.750	36	 21	1.667	16	 23
1.440	72	 26	1.821	15	 34	1.234	18	 20	1.029	 4	 29	1.273	33	 24	2.240	 4	 28	0.800	40	 24	1.600	16	 23
